Message Id,By Person Name,Content Type,Datetime,disAsSpecCat,disComSpecCat,Post Link,totalAngry,totalLike,totalLove,divScore,polPen,disAs,disCom,subAgree,totalSad,totalShares,totalComments,totalReactions
8_med_nz_,Newstalk ZB,Null,9/26/17 6:00:00 AM,,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/national/council-stops-bolt-gun-euthanasia/,2,29,4,0.752200774,0.808510638,,0.218514248,0.681488781,3,3,14,38
10_med_nz_,Newstalk ZB,proto-pol,9/26/17 12:23:42 AM,hDisCom_hSubAgree,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/national/man-who-died-outside-parliament-has-been-named/,0,5,0,0.843863705,0.853658537,0.503493261,0.296215354,0.470890382,27,3,10,35
11_med_nz_,Newstalk ZB,Null,9/26/17 12:05:04 AM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/national/labour-say-they-will-drop-pora-appeal/,1,35,3,0.879903690,0.839285714,,0.347612502,0.509499693,1,2,18,40
12_med_nz_,Newstalk ZB,Null,9/25/17 11:27:31 PM,hDisCom_hSubAgree,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/robbed-11-times-ive-had-enough/,18,14,0,0.746460308,0.772151899,0.475725928,0.326269275,0.624020178,5,6,41,43
13_med_nz_,Newstalk ZB,pol,9/25/17 9:08:43 PM,,hDisCom_lSubAgree,http://www.newstalkzb.co.nz/news/national/trying-to-con-the-public-winston-peters-on-national/,3,137,22,0.830282677,0.75,,0.566364242,0.431739537,1,54,87,183
15_med_nz_,Newstalk ZB,pol,9/25/17 7:34:45 PM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/on-air/mike-hosking-breakfast/audio/ardern-believes-they-will-find-common-ground-with-nz-first/,3,43,7,0.940087703,0.833333333,,0.701393252,0.480758454,0,4,25,58
17_med_nz_,Newstalk ZB,Null,9/25/17 7:50:16 AM,lDisCom_lSubAgree,hDisCom_lSubAgree,http://www.newstalkzb.co.nz/news/crime/pora-gearing-up-for-another-battle-with-justice-system/,5,24,1,0.780309193,0.788461538,0.091235940,0.257415637,0.281929910,5,1,19,37
22_med_nz_,Newstalk ZB,Null,9/23/17 9:59:16 AM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/vote2017/gareth-morgan-uncertain-of-tops-future/,0,14,0,0.569814667,0.763157895,,0.381681581,0.560019792,0,0,12,29
25_med_nz_,Newstalk ZB,non-pol,9/22/17 5:54:33 AM,,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/on-air/larry-williams-drive/audio/winston-peters-there-will-be-a-surprise-tomorrow-night/,0,31,3,0.468384182,0.784313725,,0.206418912,0.607173227,0,2,23,36
26_med_nz_,Newstalk ZB,non-pol,9/22/17 4:04:23 AM,,lDisCom_lSubAgree,https://www.facebook.com/newstalkzb/videos/1498477030195507/,5,53,10,0.450824516,0.608333333,,0.166802316,0.355796010,2,8,63,73
27_med_nz_,Newstalk ZB,Null,9/22/17 2:15:27 AM,,,http://www.newstalkzb.co.nz/news/world/north-korea-may-test-hydrogen-bomb-in-pacific/,16,12,0,0.515830947,0.6,0.269566603,0.500711889,,2,7,33,32
32_med_nz_,Newstalk ZB,Null,9/21/17 6:21:39 AM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/vote2017/national-ahead-in-final-pre-election-poll/,1,38,1,0.432820940,0.825396825,,0.361723441,0.453715448,2,1,27,42
33_med_nz_,Newstalk ZB,Null,9/21/17 4:26:21 AM,hDisCom_hSubAgree,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/emergency/reports-person-has-set-themselves-on-fire-outside-parliament/,0,20,2,0.721243094,0.691056911,0.415780366,0.135237847,0.701758873,22,16,55,74
34_med_nz_,Newstalk ZB,Null,9/21/17 3:42:54 AM,lDisCom_hSubAgree,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/vote2017/national-supporter-brings-sign-to-labour-rally-things-get-ugly/,18,77,6,0.500363453,0.772511848,0.155332549,0.165062605,0.531779094,7,9,97,139
35_med_nz_,Newstalk ZB,Null,9/21/17 2:55:48 AM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/vote2017/next-question-please-winston-peters-gets-feisty-over-coalition-partner-questions/,2,24,3,0.448224162,0.879310345,,0.460108138,0.727445501,0,3,33,31
36_med_nz_,Newstalk ZB,non-pol,9/19/17 11:48:28 PM,,,https://www.facebook.com/newstalkzb/videos/1496729697036907/,0,5,0,0.430589914,0.413793103,0.737800245,,,21,6,1,28
38_med_nz_,Newstalk ZB,Null,9/19/17 7:39:41 PM,hDisCom_lSubAgree,hDisCom_lSubAgree,http://www.newstalkzb.co.nz/news/trump-issues-warning-to-north-korea-and-other-rouge-nations/,20,40,0,0.717434645,0.633663366,0.330230729,0.423904749,0.447023260,4,5,36,74
42_med_nz_,Newstalk ZB,Null,9/18/17 12:59:23 AM,lDisCom_hSubAgree,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/national/ninja-gang-graffiti-bombs-train-while-passengers-locked-inside/,17,7,0,0.491153746,0.75,0.164695176,0.107331962,0.642288441,0,4,13,29
44_med_nz_,Newstalk ZB,Null,9/17/17 9:04:50 PM,,lDisCom_lSubAgree,http://www.newstalkzb.co.nz/news/world/trump-taunts-as-un-exhausts-options/,4,11,0,0.542309150,0.636363636,,0.209036902,0.442289055,0,3,15,31
47_med_nz_,Newstalk ZB,pol,9/16/17 5:23:00 AM,hDisCom_lSubAgree,hDisCom_lSubAgree,http://www.newstalkzb.co.nz/news/vote2017/metiria-turei-returns-to-election-spotlight-says-nz-mean-and-unfair/,21,63,4,0.598127972,0.771689498,0.756119153,0.598257389,0.293501891,0,6,113,117
50_med_nz_,Newstalk ZB,Null,9/15/17 9:37:43 AM,,,http://www.newstalkzb.co.nz/news/world/reports-of-explosion-in-london-underground/,7,5,0,0.576443437,0.72,0.266670222,,,8,3,2,23
51_med_nz_,Newstalk ZB,Null,9/15/17 8:49:10 AM,,,http://www.newstalkzb.co.nz/on-air/marcus-lush-nights/caller-of-the-night-barbara-when-talkback-goes-really-really-wrong/#.Wbt_qtG4tHg.facebook,0,57,0,0.358445089,0.589147287,,0.070853257,,0,0,38,102
52_med_nz_,Newstalk ZB,Null,9/15/17 8:04:05 AM,,,http://www.newstalkzb.co.nz/news/world/reports-of-explosion-in-london-underground/,2,9,0,0.444394227,0.527272727,0.244179382,,,28,7,9,46
55_med_nz_,Newstalk ZB,Null,9/15/17 3:41:42 AM,hDisCom_hSubAgree,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/politics/english-ardern-react-to-latest-north-korean-missile-launch/,13,43,0,0.376975864,0.733606557,0.598045312,0.525107794,0.508010888,0,18,163,110
